9.781663741137087698e-01 6.276635123940678407e-02
9.793712673743870667e-01 5.930257687597531580e-02
9.804501310269683190e-01 5.620110690896673589e-02
9.814217560183934319e-01 5.340792194727013442e-02
9.823013745384001627e-01 5.087923315911397487e-02
9.831014644112420209e-01 4.857916984194281251e-02
9.838337459615720260e-01 4.647403891987367253e-02
9.866695429461567191e-01 3.832181397541992857e-02
9.886589318742593502e-01 3.260280583341981786e-02
9.901316487272101563e-01 2.836910393938492023e-02
9.912658403227793125e-01 2.510857962560131967e-02
9.921661967784451974e-01 2.252027432847388336e-02
9.928982745710042135e-01 2.041572916031613241e-02
9.935052192001503357e-01 1.867091132867117198e-02
9.940165878661103571e-01 1.720085108913172248e-02
9.944533084207771712e-01 1.594538596984816994e-02
9.948306143645251343e-01 1.486072337127758089e-02
9.951598582438870855e-01 1.391422748996699009e-02
9.961570386131619603e-01 1.104757704753056222e-02
9.978932193891516533e-01 6.056480609019224311e-03
9.985488312895172136e-01 4.171756238023297675e-03
9.988932441389472006e-01 3.181653266063269505e-03
